Company,Recommendations
A,2.40
AAL,3.30
AAP,2.30
AAPL,2.20
ABBV,1.90
ABC,2.40
ABMD,2.30
ABT,1.90
ACN,2.10
ADBE,2.00
ADI,1.90
ADM,2.10
ADP,2.90
ADSK,2.20
AEE,2.10
AEP,2.30
AES,1.90
AFL,3.10
AIG,2.50
AIV,2.80
AIZ,1.80
AJG,2.10
AKAM,2.00
ALB,2.90
ALGN,2.10
ALK,2.00
ALL,2.30
ALLE,3.10
ALXN,2.20
AMAT,2.10
AMCR,2.60
AMD,2.40
AME,2.10
AMGN,2.20
AMP,1.80
AMT,2.00
AMZN,1.80
ANET,2.60
ANSS,2.50
ANTM,2.00
AON,2.40
AOS,2.50
APA,2.50
APD,2.30
APH,2.20
APTV,2.00
ARE,1.80
ATO,2.30
ATVI,1.90
AVB,2.50
AVGO,2.00
AVY,2.40
AWK,2.40
AXP,2.60
AZO,2.20
BA,2.90
BAC,2.30
BAX,1.90
BBY,2.50
BDX,2.10
BEN,3.40
BF.B,6
BIIB,2.80
BIO,1.50
BK,2.40
BKNG,2.60
BKR,1.90
BLK,1.90
BLL,2.20
BMY,1.90
BR,2.70
BRK.B,6
BSX,1.60
BWA,2.20
BXP,2.30
C,2.00
CAG,2.40
CAH,2.70
CARR,2.40
CAT,2.40
CB,2.60
CBOE,2.60
CBRE,2.10
CCI,2.40
CCL,2.90
CDNS,2.30
CDW,2.10
CE,2.20
CERN,2.20
CF,2.30
CFG,2.10
CHD,2.40
CHRW,3.00
CHTR,2.10
CI,1.80
CINF,3.00
CL,2.50
CLX,2.90
CMA,3.00
CMCSA,2.10
CME,2.40
CMG,2.30
CMI,2.70
CMS,2.40
CNC,1.60
CNP,2.50
COF,2.00
COG,2.40
COO,2.10
COP,1.90
COST,2.30
COTY,3.00
CPB,3.00
CPRT,2.10
CRM,1.80
CSCO,2.30
CSX,2.30
CTAS,2.60
CTL,3.50
CTSH,2.90
CTVA,2.50
CTXS,2.40
CVS,2.10
CVX,2.30
CXO,1.80
D,2.70
DAL,2.20
DD,1.90
DE,2.20
DFS,2.30
DG,2.00
DGX,2.10
DHI,2.20
DHR,1.70
DIS,2.20
DISCA,2.60
DISCK,3.00
DISH,2.40
DLR,2.20
DLTR,2.30
DOV,2.00
DOW,2.70
DPZ,2.00
DRE,2.20
DRI,2.10
DTE,2.30
DUK,2.60
DVA,2.80
DVN,2.00
DXC,2.20
DXCM,1.60
EA,2.20
EBAY,2.50
ECL,2.80
ED,3.40
EFX,2.60
EIX,2.10
EL,2.20
EMN,2.20
EMR,2.50
EOG,2.10
EQIX,1.80
EQR,3.00
ES,2.60
ESS,2.80
ETFC,2.80
ETN,2.20
ETR,2.20
EVRG,2.20
EW,2.00
EXC,2.20
EXPD,3.20
EXPE,2.50
EXR,2.60
F,2.80
FANG,1.80
FAST,2.70
FB,1.80
FBHS,2.70
FCX,2.20
FDX,2.20
FE,2.40
FFIV,2.50
FIS,1.80
FISV,1.90
FITB,2.20
FLIR,2.30
FLS,2.90
FLT,2.30
FMC,1.90
FOX,6
FOXA,2.50
FRC,2.50
FRT,2.30
FTI,2.30
FTNT,2.50
FTV,2.20
GD,2.10
GE,2.20
GILD,2.50
GIS,2.90
GL,2.90
GLW,2.40
GM,1.90
GOOG,1.60
GOOGL,1.80
GPC,2.80
GPN,1.80
GPS,3.00
GRMN,2.60
GS,2.20
GWW,2.60
HAL,2.50
HAS,2.10
HBAN,2.50
HBI,2.50
HCA,1.90
HD,2.20
HES,2.10
HFC,2.60
HIG,2.10
HII,2.50
HLT,2.50
HOLX,1.80
HON,2.00
HPE,2.80
HPQ,2.70
HRB,2.70
HRL,3.00
HSIC,2.60
HST,2.60
HSY,2.90
HUM,2.00
HWM,2.90
IBM,2.60
ICE,1.80
IDXX,2.00
IEX,2.30
IFF,2.50
ILMN,2.40
INCY,2.30
INFO,1.90
INTC,3.00
INTU,2.10
IP,2.90
IPG,2.70
IPGP,2.40
IQV,1.80
IR,2.50
IRM,2.60
ISRG,2.40
IT,2.20
ITW,3.00
IVZ,3.20
J,1.60
JBHT,2.50
JCI,2.20
JKHY,3.00
JNJ,1.90
JNPR,2.90
JPM,2.30
K,2.60
KEY,2.70
KEYS,1.70
KHC,2.90
KIM,2.80
KLAC,2.40
KMB,2.50
KMI,2.30
KMX,1.50
KO,2.00
KR,2.40
KSS,2.90
KSU,2.40
L,3.00
LB,2.80
LDOS,1.80
LEG,2.50
LEN,2.30
LH,1.80
LHX,1.70
LIN,2.00
LKQ,1.60
LLY,2.40
LMT,2.10
LNC,2.30
LNT,2.00
LOW,1.90
LRCX,2.00
LUV,2.30
LVS,1.80
LW,2.60
LYB,2.50
LYV,2.20
MA,1.90
MAA,2.60
MAR,2.70
MAS,2.10
MCD,2.00
MCHP,2.00
MCK,2.10
MCO,2.20
MDLZ,1.80
MDT,2.00
MET,2.20
MGM,2.80
MHK,3.00
MKC,3.10
MKTX,2.80
MLM,2.10
MMC,2.60
MMM,3.20
MNST,2.20
MO,2.10
MOS,2.20
MPC,2.10
MRK,1.90
MRO,2.90
MS,2.10
MSCI,2.50
MSFT,1.70
MSI,2.00
MTB,2.80
MTD,3.20
MU,2.20
MXIM,2.80
MYL,2.30
NBL,2.70
NCLH,2.50
NDAQ,2.40
NEE,2.20
NEM,2.00
NFLX,2.30
NI,2.10
NKE,2.00
NLOK,2.60
NLSN,2.50
NOC,1.90
NOV,2.60
NOW,1.90
NRG,1.80
NSC,2.40
NTAP,2.90
NTRS,2.90
NUE,2.60
NVDA,2.00
NVR,2.60
NWL,2.80
NWS,6
NWSA,2.90
O,2.30
ODFL,2.90
OKE,2.70
OMC,3.10
ORCL,2.70
ORLY,2.30
OTIS,2.50
OXY,3.10
PAYC,2.50
PAYX,3.00
PBCT,2.90
PCAR,2.50
PEAK,2.40
PEG,2.40
PEP,2.20
PFE,2.50
PFG,2.70
PG,2.20
PGR,2.30
PH,2.00
PHM,2.60
PKG,2.80
PKI,2.40
PLD,1.90
PM,2.00
PNC,2.60
PNR,2.40
PNW,2.60
PPG,2.30
PPL,2.30
PRGO,2.50
PRU,3.00
PSA,2.90
PSX,1.80
PVH,2.30
PWR,1.60
PXD,1.70
PYPL,1.80
QCOM,2.20
QRVO,2.30
RCL,2.60
RE,2.30
REG,2.30
REGN,2.10
RF,2.30
RHI,3.00
RJF,2.80
RL,2.50
RMD,3.00
ROK,2.80
ROL,2.50
ROP,2.60
ROST,2.00
RSG,2.10
RTX,2.10
SBAC,2.10
SBUX,2.40
SCHW,2.50
SEE,2.40
SHW,2.30
SIVB,2.20
SJM,3.20
SLB,2.20
SLG,2.90
SNA,2.30
SNPS,1.80
SO,2.90
SPG,2.40
SPGI,2.00
SRE,2.20
STE,2.40
STT,2.50
STX,2.80
STZ,2.20
SWK,2.20
SWKS,2.30
SYF,1.90
SYK,2.10
SYY,2.50
T,2.70
TAP,2.80
TDG,2.30
TDY,1.70
TEL,2.10
TFC,2.10
TFX,1.70
TGT,2.20
TIF,3.10
TJX,1.70
TMO,1.70
TMUS,2.00
TPR,2.50
TROW,2.60
TRV,2.70
TSCO,2.40
TSN,2.30
TT,2.60
TTWO,2.00
TWTR,2.80
TXN,2.60
TXT,2.50
TYL,2.40
UA,3.00
UAA,2.90
UAL,2.50
UDR,2.60
UHS,2.20
ULTA,2.10
UNH,1.80
UNM,3.10
UNP,2.10
UPS,2.50
URI,2.20
USB,2.60
V,1.80
VAR,2.10
VFC,2.40
VIAC,2.60
VLO,1.90
VMC,2.00
VNO,3.20
VRSK,2.50
VRSN,2.50
VRTX,2.00
VTR,3.10
VZ,2.60
WAB,2.50
WAT,3.60
WBA,3.10
WDC,2.20
WEC,3.20
WELL,2.80
WFC,3.00
WHR,2.90
WLTW,2.40
WM,2.20
WMB,1.80
WMT,2.00
WRB,3.00
WRK,2.50
WST,1.70
WU,3.20
WY,2.10
WYNN,1.90
XEL,2.90
XLNX,2.60
XOM,3.10
XRAY,2.20
XRX,3.30
XYL,2.80
YUM,2.60
ZBH,1.90
ZBRA,2.20
ZION,2.70
ZTS,2.10
